listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description
BULK BUY OPTIONS AVAILABLE, PLEASE MESSAGE US FOR ANY QUANTITIES NOT LISTED

Brass Knuckles OG cartridges provide you with 1g of super premium concentrate for the ultimate flavor experience at hand. Our carts connect with 510 thread batteries and are made with superior Quartz.
"

Crash Labs Distillate,canadianflavor,concentrate,concentrate,cannabis,FE Required BULK DISCOUNTS,0.944, 2019-04-17,canada,worldwide,26.58,g,"Distillates by Crash labs comes in a vial that you can squeeze out and you can put on your joint, vape or dab."

5x STIIIZY Full Gram Vape Pods | AUTHENTIC,GasStation,concentrate,vape pods,cannabis,ESCROW,1, 2019-04-22,US,US,150,unit,"5x 1G Stiiizy Pods Authentic Stiiizy full gram vape pod, various flavors. Specify with address or will be sent at random.

Strain Request (We send what we have instock) :

Sativa :

Strawberry Cough, Premium Jack

Hybrid :

Pineapple Express, Strawnana, Grandaddy Purp,

Indica :

Hardcore OG, OG Kush
"

10x .8g Rove Distillate Vape Carts,myceliummarket,concentrate,cartridge,cannabis,ESCROW,1, 2019-09-15,US,US,90,10 cart,"This listing is for 10x .8g rove distillate vape carts along with packaging.

Please donêt request strains, we send whatever is in stock at the moment.

These are not authentic and replicas.

I donêt use any cutting agents like VG, PG, MCT, or Honey Cut/Vitamin E acetate.

Only thing that is added is 5% food grade terpenes blended to match cannabis strain profiles (like true terpenes)
"

1g 98% THC- Cannabis Oil- VAPE STARTER SET /KIT *SUPER STRONG*,KannaMedsUk,concentrate,starter kit,cannabis,ESCROW,0.993, 2019-06-01,UK,selected,76.43,unit,"1 x 1g 98% SUPER STRONG! THC-OIL VAPE STARTER SET Variety of Strains/Flavors available

**SUPER STRONG - MADE FROM 98% THC CONCENTRATE - POTENT *

Premium THC Concentrate Vape set comes complete with:

2 x pre filled THC carts (0.5ml each) (choose strain/flavor from options below) Dual watt battery (3 x heat settings) Battery charger

======DETAILS TO SEND US WITH PGP ADDRESS=== STRAINS & FLAVORS FOR THE 2 X CARTS CHOICE OF BATTERY COLOUR - BLACK OR RED

Everything you need to get started with vaping cannabis oil. We recommend you use this battery set to vape our cannabis oil. This produces optimal results. Our carts are fully compatible with this device.

Battery offers 3 x settings low,med,high heat and all provide excellent effect with our oils.

Purest, Cleanest & Strongest THC Oil on The Market!

Pre filled Cart (better vaping experience) 1ml of Premium oil (2 x 0.5ml carts) Organic & Natural THC Higher THC level Smoother Experience No paranoia No alcohol, No solvents, No butane, No preservatives, No Nicotine, No synthetics No waxes - Extra refined Oil == No more Blocked Coil!!===

     FREE FAST FIRST CLASS POSTAGE
         ON ALL ORDERS TO UK.

WE SHIP TO UK, EUROPE & AUSTRALIA WITH 100% SUCCESS!

====== SUPER SAFE MYLAR PACKAGING=======
    === Discreet & Confidential ====

Orders Shipped MON-FRI (12.30pm Cut-Off same day post)

Messaged responded within 24hrs Mon-Fri

As you can see from the images the oil is a wonderful light golden color. Oil colour may vary between strains

====FLAVORS==== Flavors help to mask the smell of cannabis when vaping. Enjoy cannabis more discreetly when required. The taste is rather subtle and compliments the natural taste to the product. Flavors and original/ no flavor are the same strength. No difference in potency.

====FLAVORS AVAILABLE===== Strawberry (Strongest Flavor/Best Mask of Smell) Ice mint Grape Banana PINEAPPLE BLUEBERRY Original Unflavored (Natural Taste/No masking)

=========STRAINS========PLEASE CHOOSE===== Bruce Banner #3 Super Lemon haze Delicious candy Cream caramel Blueberry skunk Cheese Amnesia Haze Girl Scout Cookies Gorilla Glue #4

PLEASE SPECIFY FLAVOR/STRAIN YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL AND RANDOM MIX OF STRAINS

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you find your tolerance

INSTRUCTIONS FOR USE: PLEASE READ BEFORE USE:

Carts are ready to use. simply charge battery device, screw cart to the battery (510thread) and begin to vape. Instructions provided on how to use the device and change between watt settings.

NO WASTE. NO LEAVES. WAXES OR IMPURITIES IN THIS THC VAPE! NOT A CHEAP FAKE IMPORT!

Super Safe and Discreet sealed Mylar bag packaging. Sealed and smell proof. Standard plain bubble envelope which fits through standard size letter box. Highly confidential and Discreet. No Sign required.
"

Rove Vape Cartridge {Half Gram},BuddhaBazaar,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2019-05-14,US,US,50,cart,"Rove was born at the intersection of art and science. Their team of long time industry enthusiasts, combine a wealth of experience in cultivation, extraction and laboratory science, joined together with a mission to produce better, tastier, more honest cannabis products.

Their products are made using 100% organically grown cannabis, sourced directly from trusted farms in their collective network. Using sub-critical liquid carbon dioxide, they extract a fine quality oil and refine it using only heat and pressure.

The cornerstone of Rove products is CO2-extracted concentrate. In a market flooded with concentrates extracted using Butane, Hexane, Pentane, Propane, and Ethanol, Rove stands out by producing top quality products using the industryês cleanest extraction methodology.
"

Off White Full-Gram vape cartridges,outerviscera,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2019-06-15,US,US,35,unit,"Off White full gram vape cartridges

1 gram of premium distillate, No contaminents or pesticides - all natural & lab tested.

Stock is subject to availability:

White Walker OG (Indica) Purple Punchsicle (Indica) Kosher Kush (Indica)

Melonade (Sativa) Super Fruit Punch (Sativa) Sour Banana Sherbert (Sativa) Watermelon Zkittles (Sativa)

Gelato #41 (Hybrid) Appley Ever After (Hybrid) Berry Berry Good Lemonade (Hybrid)
"

Freebase DMT Vape Cart 1000mg (1ML) New Vendor Special $110!!,UnrealOrganics,DMT AMT,cartridge,psychedelic,ESCROW,0.995, 2019-04-26,US,US,125,piece,"SAFE VAPE: WE DONêT USE VITAMIN E, ANY THICKENERS, CUTTING AGENTS OR OTHER INGREDIENTS CAUSING LUNG SICKNESS. WE ONLY USE NATURAL, OVERTIME PROVEN INGREDIENTS.

Highest Quality, Most Potent our ORGANIC DMT Vape Carts! (no chemicals used from growing the bush to putting it in the cartridge, all process is chemical free)

We have mastered the way of extracting DMT so we donêt have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days. PLEASE APPRECIATE AND ENJOY!

-Carts are top quality, no leaks, durable, and aesthetically pleasing.

-Carts are 1ML each! (due to its high concentration of DMT, content might crystallize in lower temperatures. you can use lighter or hair drier to heat it up to turn it back into the liquid form)

-CCELL (Ceramic coil) 510 thread cartridge.

-These are most potent carts from our arsenal, (newest-most expensive formula) it is double the potency from our regular best selling carts.

-Works well with most any battery, but works best with a battery with variable voltage and on around 3.7v, higher than 4v may risk burning out the coil in which case you can transfer the liquid to a new empty cart). You can buy a battery at your local vape shop for super cheap that works well, but donêt get the cheapest one, as they sometimes donêt make it hot enough to get a quick breakthrough, so extra hits or battery replacement needed.

If you want to place order for more units than MAX allowed, please place another order, and pick $0 (Additional item) shipping option.

_IMPORTANT TO KNOW BEFORE THE FIRST USE_

When received cartridge, you might notice slight leak through the holes, it is because we will it up 98% complete, and it just squeezes out during the transit. These carts are designed to be a leak proof if it is filled no more than 80% of its capacity, So I figured, that it rather leak a bit, but will be full. Sometimes excess of the juice crystallizes inside of the mouthpiece, and it only comes out when cartridge is heated, and nasty tasting juice might get on your lips and you will f*kin hate it. To prevent it from happening, before first use, before you even mount it on your battery, take rubber cap(s) of the cart and blow though strong as you can to the mouthpiece, so all excess juice would come out though the other end, (at this point a piece of tissue or a paper towel might become handy) now you are good to go!"

***100 CARTS*** TKO FULL GRAM THC VAPE CARTS ***PROMO***,westcoastplug,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,1095,pack,"100 Units Authentic TKO ESTRACTS Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

TKO Products is one of the oldest and most recognized cannabis brands in California. Their vision is to use our passion for quality, potency and flavor to deliver the very best edibles, concentrates, vaporizers and cannabis-infused products on the market.
"

Changa _ 1g,AlanCuring420UK ,DMT AMT,other,psychedelic,ESCROW,1, 2019-06-13,UK,UK,51.74,1g,"Changa is a psychedelic vaping / smoking blend !

We have designed our blend to be a smokeable form of Ayahuasca (famous psychedelic / healing brew of the Amazon).

Blend contains:

    Re-crystallised DMT

    Harmaline / Harmine Freebase alkaloids

    added to Caapi leaf (Banisteriopsis Caapi / Ayahuasca) & Marshmallow leaf (Althaea Officinalis)

DOSAGE GUIDANCE:

1g should provide a number of full psychedelic and visual experiences, whether smoked, or vaped.

***** VERY Strong , PREPARE AND TAKE CARE.

Store in a cool dark place & away from sunlight.
"

**50 CARTS** COOKIES FULL GRAM THC VAPE CARTS ***PROMO***,westcoastplug,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,595,50cart,"Fifty Units Authentic COOKIES SF Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

COOKIES SF are an industry leader in super premium extracted cannabis oil products. Real purity, real integrity, no nonsense.
"

Critical Kush / Hybrid Indica / Indoor / THC 25%,wochris,weed,other,synthetic cannabinoids,ESCROW BULK DISCOUNTS,0.905, 2019-01-07,spain,worldwide,15.63,unit,"Critical Kush from Barneyês Farm is a mostly indica strain that blends together two famed cannabis staples, Critical Mass and OG Kush. Aromatic notes of earthiness and spice usher in a calming sensation that relaxes the mind and body. Critical Kush pairs a staggeringly high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms.

Type of High

The taste and aroma might be run of the mill, but the powerful stone is far from ordinary. Whether smoked or vaped, Critical Kush takes a few minutes to take effect, then sheêll quickly hug your body and your mind in a heavy, thick envelope of pure relaxation. Youêll forget about all your problems, let go of any anxiety youêve been holding onto, and your muscles will relax and go limp

Genetics

Critical Mass and OG Kush

Indica / Sativa Ratio

Indica Dominant Hybrid (90% Indica / 10% Sativa)"

STRAWBERRY COUGH Cannabis Vape Oil | 50% THC | 30ml,aKINDercare,concentrate,eliquid,synthetic cannabinoids,ESCROW,1, 2019-04-28,US,US,225,30ml,"STRAIN: STRAWBERRY COUGH | [80% Sativa / 20% Indica ] | [sativa]

ATTRIBUTES: relaxed, euphoric, happy, uplifted, energetic
